objectid,title,classification,dated,artist,medium,department,image_path,image_url,embedding_idx
206127,"The Crucifixion with the Virgin, Saint John, Saint Jerome, and Saint Mary Magdalene",painting,,,oil on panel transferred to canvas,,./images/206127.jpg,"https://api.nga.gov/iiif/823e1490-2c2a-41d6-9189-61c0a302f48f/full/!512,512/0/default.jpg",498
163323,"Green Wheat Fields, Auvers",painting,,,oil on canvas,,./images/163323.jpg,"https://api.nga.gov/iiif/b479275a-4f8a-4702-83c2-9dcc4cbe60ce/full/!512,512/0/default.jpg",499
43515,Portrait of an Almoner of Antwerp,painting,,,oil on panel,,./images/43515.jpg,"https://api.nga.gov/iiif/3dddd187-5008-4183-8fa6-6ae29853744b/full/!512,512/0/default.jpg",500
50641,"La Salle Taking Possession of the Land at the Mouth of the Arkansas.  March 10, 1682",painting,,,oil on canvas,,./images/50641.jpg,"https://api.nga.gov/iiif/b402222c-9962-41b8-9db5-b93141a5236a/full/!512,512/0/default.jpg",501
43441,Emancipation Proclamation,painting,,,oil on canvas,,./images/43441.jpg,"https://api.nga.gov/iiif/c1059816-1dc7-4af1-a5b3-26772de84b08/full/!512,512/0/default.jpg",502
57102,Wooded Landscape with Travelers,painting,,,oil on canvas,,./images/57102.jpg,"https://api.nga.gov/iiif/7f2cee58-c4b1-42a8-ab92-e5906d04658a/full/!512,512/0/default.jpg",503
46704,Repast in a Garden,painting,,,oil on cardboard,,./images/46704.jpg,"https://api.nga.gov/iiif/469aefe8-b1eb-4b56-a5cf-101cc85e4f96/full/!512,512/0/default.jpg",504
34637,Catharine,painting,,,oil on canvas,,./images/34637.jpg,"https://api.nga.gov/iiif/dec2bc93-1ab9-4286-bef1-fdb9df8b4aed/full/!512,512/0/default.jpg",505
50518,Cedar Bluffs,painting,,,oil on card mounted on paperboard,,./images/50518.jpg,"https://api.nga.gov/iiif/a4428b02-d5c0-4e03-ab06-d65b01ae3c54/full/!512,512/0/default.jpg",506
50562,Four Fuegian Indians,painting,,,oil on card mounted on paperboard,,./images/50562.jpg,"https://api.nga.gov/iiif/1414fb0f-736b-470f-a6c4-f17c8d4b450a/full/!512,512/0/default.jpg",507
41624,The Mourning Saint John the Evangelist,painting,,,tempera on panel,,./images/41624.jpg,"https://api.nga.gov/iiif/cbfa8d2d-dd02-4101-94be-15413ecf717f/full/!512,512/0/default.jpg",508
39758,The Bathers,painting,,,oil on canvas,,./images/39758.jpg,"https://api.nga.gov/iiif/5fc5c211-bd9f-452e-856f-a5832fbb6f62/full/!512,512/0/default.jpg",509
50416,Mohigan Chief and a Missionary,painting,,,oil on card mounted on paperboard,,./images/50416.jpg,"https://api.nga.gov/iiif/82ff36cd-7369-4599-a5c1-fd6195851145/full/!512,512/0/default.jpg",510
30221,Job and His Daughters,painting,,,pen and tempera on canvas,,./images/30221.jpg,"https://api.nga.gov/iiif/2f263cb3-c310-45d6-bde1-d3a815c10911/full/!512,512/0/default.jpg",511
50688,Captain Alexander Graydon,painting,,,oil on canvas,,./images/50688.jpg,"https://api.nga.gov/iiif/df97d4b5-f6b5-4254-9a37-e0c3a4f92fd3/full/!512,512/0/default.jpg",512
34160,Portrait of a Gentleman,painting,,,oil on canvas,,./images/34160.jpg,"https://api.nga.gov/iiif/86cf4943-a3cf-497e-a1fc-ce6df9eb630c/full/!512,512/0/default.jpg",513
